Attrition,OverTime,TotalWorkingYears,JobLevel,YearsInCurrentRole,MonthlyIncome,Age,YearsWithCurrManager,StockOptionLevel,YearsAtCompany,JobInvolvement,BusinessTravel,JobSatisfaction,EnvironmentSatisfaction,DistanceFromHome,WorkLifeBalance,TrainingTimesLastYear,Department,EducationField,JobRole,MaritalStatus
0,0,7,1,2,2232,39,2,3,3,3,1,3,3,1,3,1,Research & Development,Medical,Laboratory Technician,Divorced
0,0,4,2,2,4465,32,2,0,3,3,0,4,3,26,3,2,Sales,Marketing,Sales Executive,Married
0,0,17,2,0,3072,41,0,2,1,3,1,1,3,19,2,2,Research & Development,Life Sciences,Research Scientist,Divorced
0,0,9,2,8,3319,40,7,2,9,3,1,4,1,24,3,3,Research & Development,Technical Degree,Research Scientist,Divorced
0,0,25,5,0,19202,45,7,1,24,4,1,4,3,1,3,2,Research & Development,Other,Manager,Married
0,0,9,3,2,13675,31,2,1,2,3,2,3,2,3,3,3,Research & Development,Medical,Research Director,Divorced
0,0,2,1,2,2911,33,2,1,2,2,1,4,3,5,2,2,Research & Development,Life Sciences,Research Scientist,Married
0,0,13,2,9,5957,34,9,1,11,2,1,1,4,2,3,3,Research & Development,Life Sciences,Manufacturing Director,Married
0,0,17,1,1,3920,37,2,1,3,2,1,1,3,1,2,2,Research & Development,Medical,Research Scientist,Married
0,0,9,2,2,6434,45,2,1,3,4,2,3,1,7,3,1,Research & Development,Life Sciences,Manufacturing Director,Married
1,0,17,3,0,10048,37,0,2,1,3,2,3,1,10,3,5,Research & Development,Medical,Manufacturing Director,Divorced
0,0,20,3,6,10938,39,8,0,19,3,2,3,3,2,3,1,Research & Development,Technical Degree,Healthcare Representative,Single
0,0,6,1,5,2340,29,5,0,6,3,1,4,3,15,3,1,Research & Development,Life Sciences,Research Scientist,Single
0,1,10,2,2,6545,42,2,0,3,4,1,1,4,17,3,1,Research & Development,Life Sciences,Research Scientist,Single
0,0,10,2,2,6931,29,2,1,3,3,1,4,4,20,3,2,Sales,Marketing,Sales Executive,Divorced
0,0,5,2,2,4898,25,2,2,4,3,1,3,1,1,3,3,Research & Development,Life Sciences,Manufacturing Director,Married
0,1,10,1,6,2593,42,8,1,9,2,1,1,4,2,3,4,Research & Development,Medical,Laboratory Technician,Divorced
0,0,22,5,7,19436,40,9,1,21,3,1,3,1,2,3,5,Research & Development,Medical,Research Director,Divorced
0,0,1,1,0,2723,51,0,0,1,3,1,4,3,1,2,0,Research & Development,Life Sciences,Research Scientist,Married
1,0,6,1,4,3479,31,4,0,5,2,2,2,3,29,4,2,Research & Development,Medical,Laboratory Technician,Single
0,0,5,1,1,2794,32,3,0,5,4,2,2,2,7,1,3,Research & Development,Life Sciences,Laboratory Technician,Married
0,0,13,2,7,5249,38,5,1,8,2,0,4,4,2,3,0,Sales,Life Sciences,Sales Executive,Married
0,0,9,2,2,2176,32,4,0,6,2,1,1,4,2,3,5,Research & Development,Technical Degree,Laboratory Technician,Single
0,1,28,4,7,16872,46,7,1,7,1,1,2,3,2,2,2,Sales,Technical Degree,Manager,Married
1,0,5,1,0,3485,28,0,0,0,3,1,3,1,2,1,5,Research & Development,Life Sciences,Laboratory Technician,Single
0,0,10,2,0,6644,29,0,2,0,2,1,2,1,2,3,2,Sales,Medical,Sales Executive,Married
0,0,10,2,0,5582,31,8,1,9,2,1,4,2,23,3,2,Research & Development,Medical,Healthcare Representative,Married
0,0,6,2,3,4000,25,5,2,6,4,0,1,2,5,3,2,Research & Development,Life Sciences,Healthcare Representative,Divorced
0,1,21,4,7,13496,45,10,0,20,3,1,4,3,20,3,2,Research & Development,Medical,Healthcare Representative,Married
0,0,16,1,13,3210,36,11,1,15,3,1,4,4,6,3,4,Research & Development,Life Sciences,Laboratory Technician,Married
0,1,37,5,10,19045,55,13,0,36,3,1,1,4,1,3,2,Research & Development,Medical,Manager,Single
1,1,10,3,7,11849,47,9,1,10,3,0,2,1,29,2,2,Research & Development,Life Sciences,Manager,Married
0,0,5,1,2,2070,28,4,1,5,3,1,4,4,9,2,3,Research & Development,Medical,Research Scientist,Married
0,0,7,2,4,6502,37,1,1,5,3,1,4,3,6,4,5,Sales,Medical,Sales Executive,Married
0,0,3,1,2,3230,21,0,0,3,2,1,3,4,3,4,4,Research & Development,Medical,Research Scientist,Single
0,1,15,3,2,13603,37,2,2,5,3,0,4,1,1,3,2,Research & Development,Medical,Research Director,Divorced
0,0,10,3,7,11996,35,2,1,7,4,1,2,2,22,2,6,Research & Development,Life Sciences,Manager,Divorced
0,1,8,2,0,5605,38,7,1,8,4,1,1,1,7,3,3,Sales,Medical,Sales Executive,Divorced
0,0,6,2,5,6397,26,4,1,6,3,2,2,3,1,1,6,Research & Development,Life Sciences,Manufacturing Director,Divorced
0,0,28,5,4,19144,50,6,2,10,3,1,2,1,4,2,4,Research & Development,Life Sciences,Research Director,Divorced
0,1,21,4,3,17584,53,3,3,5,3,1,3,3,3,2,5,Research & Development,Medical,Research Director,Married
0,0,20,2,16,4907,42,6,0,20,3,1,3,2,1,3,3,Sales,Life Sciences,Sales Executive,Married
0,0,10,2,7,4554,29,9,0,10,3,2,4,2,2,2,3,Sales,Life Sciences,Sales Executive,Single
0,1,12,2,7,5415,55,8,1,10,3,1,4,2,20,3,4,Research & Development,Technical Degree,Laboratory Technician,Married
0,1,5,2,3,4741,26,3,1,5,3,2,1,1,11,3,3,Research & Development,Medical,Healthcare Representative,Married
0,0,17,1,12,2115,37,7,0,17,3,1,4,4,1,3,3,Research & Development,Life Sciences,Research Scientist,Single
1,1,19,1,0,3161,44,0,1,1,3,2,3,4,24,1,0,Research & Development,Life Sciences,Laboratory Technician,Divorced
0,0,10,2,2,5745,38,2,1,2,3,1,4,4,23,3,2,Research & Development,Life Sciences,Healthcare Representative,Divorced
1,1,5,1,2,2373,26,2,1,3,3,1,2,1,16,3,2,Research & Development,Medical,Laboratory Technician,Divorced
0,0,5,1,3,3310,28,2,0,5,3,1,4,4,8,3,3,Research & Development,Life Sciences,Research Scientist,Single
0,1,22,5,2,18665,49,2,0,3,3,2,1,3,10,3,4,Research & Development,Life Sciences,Research Director,Single
0,0,10,2,0,4485,36,7,0,8,3,1,2,3,3,3,2,Research & Development,Technical Degree,Research Scientist,Single
0,0,2,1,2,2789,31,2,1,2,3,2,2,4,5,2,5,Sales,Marketing,Sales Representative,Divorced
1,1,8,2,7,5828,26,4,0,8,2,1,4,4,4,3,0,Sales,Marketing,Sales Executive,Single
0,1,4,1,2,2326,37,2,3,4,3,2,4,2,9,2,3,Research & Development,Medical,Research Scientist,Married
0,0,23,4,4,13525,42,8,1,20,3,2,2,3,26,4,2,Sales,Marketing,Sales Executive,Married
1,0,0,1,0,1420,18,0,0,0,3,1,3,3,3,3,2,Research & Development,Life Sciences,Laboratory Technician,Single
0,0,12,3,9,8020,35,9,2,11,3,1,2,3,16,2,3,Sales,Marketing,Sales Executive,Married
0,0,4,1,0,3688,36,0,2,1,4,2,4,3,18,3,2,Research & Development,Life Sciences,Laboratory Technician,Married
0,0,13,2,1,5482,51,2,1,4,1,1,2,4,2,3,3,Research & Development,Medical,Manufacturing Director,Divorced
0,0,22,4,10,16015,41,4,0,22,3,1,2,4,2,3,2,Sales,Life Sciences,Manager,Single
0,0,0,1,0,1200,18,0,0,0,2,1,3,4,10,3,2,Sales,Medical,Sales Representative,Single
0,0,9,2,3,5661,28,7,0,8,4,1,1,2,16,3,2,Research & Development,Medical,Healthcare Representative,Single
0,0,10,2,7,6929,31,7,1,8,4,1,4,2,7,2,3,Sales,Technical Degree,Sales Executive,Married
0,0,19,3,10,9613,39,7,3,18,4,1,4,3,1,2,5,Research & Development,Medical,Healthcare Representative,Divorced
0,0,11,2,8,5674,36,8,1,9,3,0,2,2,24,3,3,Research & Development,Life Sciences,Laboratory Technician,Married
0,0,13,2,8,5484,32,8,1,13,2,1,3,4,7,2,3,Sales,Life Sciences,Sales Executive,Married
0,0,19,3,8,12061,38,1,1,10,2,1,2,1,25,3,2,Research & Development,Life Sciences,Research Director,Married
0,1,12,2,3,5660,58,2,1,5,1,0,3,4,1,3,2,Research & Development,Life Sciences,Healthcare Representative,Divorced
0,1,6,1,2,4821,31,3,1,5,3,1,4,3,5,3,4,Research & Development,Technical Degree,Research Scientist,Married
0,0,9,2,2,6410,31,0,0,2,2,1,1,1,2,3,1,Human Resources,Human Resources,Human Resources,Married
0,0,24,3,9,5210,45,11,1,24,3,2,1,1,7,3,2,Research & Development,Life Sciences,Laboratory Technician,Divorced
0,1,3,1,2,2695,31,2,1,2,3,1,4,3,2,1,2,Research & Development,Life Sciences,Research Scientist,Divorced
0,0,12,3,6,11878,33,8,2,10,3,2,2,4,5,3,2,Research & Development,Life Sciences,Manager,Married
0,1,21,4,9,17068,39,10,0,21,3,1,1,3,10,3,3,Research & Development,Medical,Manager,Married
0,0,9,1,7,2455,43,7,0,8,3,2,4,3,10,3,5,Research & Development,Life Sciences,Laboratory Technician,Single
0,1,25,4,1,13964,49,7,0,7,2,1,3,3,1,3,2,Research & Development,Technical Degree,Healthcare Representative,Single
1,0,11,2,2,4941,52,7,0,8,2,1,2,3,8,2,3,Research & Development,Medical,Research Scientist,Married
0,1,4,1,3,2478,27,2,0,4,3,1,2,3,5,2,2,Research & Development,Life Sciences,Research Scientist,Single
0,1,13,2,12,5228,32,9,0,13,2,1,2,3,8,3,2,Sales,Technical Degree,Sales Executive,Married
0,1,5,2,4,4478,27,4,0,5,3,1,3,4,2,3,3,Sales,Life Sciences,Sales Executive,Single
0,0,13,2,7,7547,31,7,3,7,3,1,4,4,7,3,3,Sales,Marketing,Sales Executive,Divorced
0,0,10,2,7,5055,32,7,0,7,4,1,4,1,2,2,0,Research & Development,Medical,Research Scientist,Single
1,1,5,1,2,3464,28,2,0,3,1,1,4,1,2,2,4,Research & Development,Medical,Research Scientist,Married
0,0,11,2,8,5775,30,9,2,10,3,1,4,4,28,3,2,Research & Development,Medical,Research Scientist,Married
0,0,10,3,9,8943,31,9,1,10,2,2,3,3,7,3,2,Research & Development,Life Sciences,Manufacturing Director,Married
0,0,21,5,9,19272,39,3,1,21,2,2,4,3,7,3,2,Research & Development,Medical,Manager,Married
1,1,12,2,0,5238,39,0,0,1,3,1,3,4,3,2,3,Sales,Medical,Sales Executive,Married
0,0,9,2,7,4682,33,1,0,7,2,2,4,2,10,2,6,Sales,Marketing,Sales Executive,Single
0,0,21,5,2,18300,47,1,1,3,3,1,3,4,5,3,2,Research & Development,Life Sciences,Research Director,Married
0,0,9,2,7,5257,43,0,1,9,2,2,3,3,10,4,3,Research & Development,Life Sciences,Laboratory Technician,Divorced
0,1,6,2,4,6349,27,4,1,5,3,0,2,3,1,3,0,Sales,Marketing,Sales Executive,Married
0,0,20,2,3,4869,54,3,0,4,3,2,3,4,20,2,4,Research & Development,Life Sciences,Research Scientist,Single
0,0,10,3,0,9985,43,0,1,1,3,1,1,3,7,2,1,Research & Development,Life Sciences,Healthcare Representative,Married
0,0,12,2,9,3697,45,8,2,10,3,1,4,4,8,3,3,Research & Development,Other,Research Scientist,Married
0,1,6,2,3,7457,40,2,3,4,1,1,4,2,1,2,2,Sales,Medical,Sales Executive,Married
1,1,7,1,7,2119,29,7,0,7,1,1,1,2,8,2,4,Research & Development,Other,Laboratory Technician,Married
0,0,4,1,2,3983,29,2,0,3,2,1,4,2,9,3,2,Research & Development,Other,Laboratory Technician,Single
0,0,10,2,9,6118,30,2,3,10,2,1,3,4,5,3,2,Sales,Marketing,Sales Executive,Divorced
0,0,8,2,7,6214,27,7,1,8,3,1,2,2,8,3,3,Sales,Marketing,Sales Executive,Married
0,0,8,2,2,6347,37,4,2,6,3,1,4,4,5,2,2,Research & Development,Medical,Manufacturing Director,Divorced
0,1,12,3,10,11510,38,9,1,11,2,1,4,3,15,3,3,Research & Development,Life Sciences,Research Director,Divorced
0,1,11,3,9,7143,31,10,0,11,3,1,4,3,7,2,2,Research & Development,Medical,Manufacturing Director,Single
0,1,7,2,7,8268,29,7,2,7,2,1,2,4,10,3,2,Sales,Marketing,Sales Executive,Divorced
0,0,17,3,6,8095,35,13,0,16,3,1,2,3,5,3,5,Research & Development,Technical Degree,Manufacturing Director,Single
0,0,4,1,2,2904,23,2,2,4,3,1,4,3,26,2,2,Research & Development,Life Sciences,Research Scientist,Divorced
0,1,8,2,4,6032,41,2,0,5,2,1,2,4,6,3,3,Research & Development,Medical,Manufacturing Director,Single
0,0,5,2,0,2976,47,0,0,0,3,2,3,2,4,3,3,Sales,Medical,Sales Representative,Single
0,0,16,4,0,15992,42,0,0,1,3,1,4,1,23,3,2,Research & Development,Life Sciences,Research Director,Single
0,0,4,2,3,4649,29,2,1,4,3,0,3,4,2,2,3,Sales,Life Sciences,Sales Executive,Married
0,1,4,1,2,2696,42,0,1,3,3,1,3,3,2,3,5,Human Resources,Technical Degree,Human Resources,Divorced
0,0,8,1,0,2370,32,7,1,8,3,1,2,3,2,3,4,Research & Development,Medical,Laboratory Technician,Married
0,0,15,3,0,12504,48,0,1,0,3,1,3,1,29,1,3,Sales,Medical,Manager,Married
0,1,13,2,7,5974,37,7,2,7,4,1,1,3,6,3,2,Research & Development,Medical,Research Scientist,Divorced
0,1,4,2,2,4736,30,2,1,2,3,0,3,4,25,4,2,Sales,Technical Degree,Sales Executive,Married
0,0,8,2,7,5296,26,7,1,8,3,1,3,3,1,3,3,Sales,Life Sciences,Sales Executive,Married
0,0,14,2,0,6781,42,0,0,1,2,1,4,1,2,3,6,Research & Development,Other,Healthcare Representative,Single
1,1,3,1,2,2174,21,2,0,3,2,2,2,1,1,3,3,Sales,Technical Degree,Sales Representative,Single
0,0,7,2,0,6653,36,0,0,1,3,0,4,4,1,3,6,Sales,Medical,Sales Executive,Single
0,0,16,3,9,9699,36,12,1,13,2,2,4,1,3,3,2,Sales,Medical,Sales Executive,Married
0,0,15,2,2,6755,57,2,0,3,3,1,3,4,1,3,2,Research & Development,Medical,Healthcare Representative,Married
0,1,10,1,7,2213,40,7,1,7,4,1,3,4,10,3,3,Research & Development,Life Sciences,Laboratory Technician,Married
0,0,3,1,2,2610,21,2,0,3,3,0,4,1,9,2,3,Sales,Medical,Sales Representative,Single
1,1,1,1,0,2851,33,0,0,1,3,1,3,4,5,3,2,Sales,Marketing,Sales Representative,Single
0,0,17,1,4,3452,37,3,1,5,3,1,1,3,10,3,3,Research & Development,Medical,Laboratory Technician,Married
0,0,7,2,0,5258,46,0,0,1,3,0,3,3,7,4,2,Research & Development,Medical,Manufacturing Director,Married
1,0,8,2,7,9355,41,7,0,8,3,2,2,1,4,3,5,Sales,Marketing,Sales Executive,Single
0,0,20,3,3,10496,50,3,0,4,2,1,4,4,10,3,2,Research & Development,Technical Degree,Healthcare Representative,Single
1,1,8,2,4,6380,40,0,2,6,2,1,3,3,22,3,6,Sales,Marketing,Sales Executive,Married
0,1,3,1,2,2657,31,2,0,2,2,1,2,3,9,3,5,Research & Development,Life Sciences,Research Scientist,Single
1,0,1,1,0,2716,21,0,0,1,4,1,2,3,12,3,0,Sales,Life Sciences,Sales Representative,Single
0,0,6,1,2,2201,29,2,0,3,3,1,4,4,23,3,4,Research & Development,Life Sciences,Research Scientist,Single
0,0,10,2,1,6540,35,0,0,1,2,1,2,3,9,3,5,Research & Development,Life Sciences,Healthcare Representative,Single
0,0,5,1,2,3816,27,4,1,5,3,1,2,4,1,3,2,Research & Development,Medical,Laboratory Technician,Divorced
0,0,7,2,5,5253,28,7,0,7,3,1,4,2,9,3,1,Sales,Life Sciences,Sales Executive,Single
0,0,26,3,2,10965,49,0,0,5,2,1,3,2,7,3,2,Research & Development,Other,Healthcare Representative,Single
0,0,18,2,7,4936,51,7,1,7,3,1,4,3,14,2,2,Sales,Life Sciences,Sales Executive,Married
0,0,6,1,2,2543,36,2,1,2,3,1,3,4,2,3,3,Research & Development,Life Sciences,Research Scientist,Married
1,1,9,2,2,5304,34,4,0,5,4,0,4,1,19,2,3,Sales,Marketing,Sales Executive,Single
0,1,30,4,4,16659,55,2,0,5,3,1,4,3,2,3,2,Research & Development,Life Sciences,Manager,Single
0,1,5,2,2,4260,24,3,1,5,3,1,3,4,10,4,2,Sales,Marketing,Sales Executive,Divorced
0,0,1,1,0,2476,30,0,1,1,3,1,2,3,2,3,3,Sales,Technical Degree,Sales Representative,Married
1,0,7,1,4,3102,26,4,0,6,3,2,1,3,3,3,2,Research & Development,Technical Degree,Research Scientist,Single
0,0,2,1,1,2244,22,2,1,2,3,1,2,1,11,3,1,Research & Development,Medical,Research Scientist,Married
0,0,10,3,9,7596,36,0,2,10,2,1,3,2,2,3,2,Sales,Medical,Sales Executive,Married
1,1,3,1,0,2285,30,0,0,1,3,2,4,3,4,3,4,Research & Development,Technical Degree,Research Scientist,Single
0,0,18,1,7,3034,37,17,1,18,3,1,1,4,14,2,2,Research & Development,Life Sciences,Laboratory Technician,Divorced
0,0,8,2,4,5715,40,3,2,5,3,1,2,4,2,3,5,Sales,Marketing,Sales Executive,Divorced
0,0,8,1,2,2576,42,2,1,5,3,1,1,2,1,3,5,Research & Development,Life Sciences,Laboratory Technician,Divorced
0,1,18,2,0,4197,37,1,0,1,3,1,2,3,10,2,2,Research & Development,Life Sciences,Manufacturing Director,Single
0,0,25,4,10,14336,43,9,1,25,2,1,2,1,12,3,3,Research & Development,Life Sciences,Research Director,Divorced
0,0,20,2,0,3448,40,0,1,1,2,1,3,2,2,3,3,Research & Development,Medical,Laboratory Technician,Married
0,0,24,5,2,19406,54,2,1,4,3,1,1,1,5,2,4,Research & Development,Medical,Research Director,Married
0,0,6,2,2,6538,34,2,1,3,3,0,3,3,4,3,3,Sales,Marketing,Sales Executive,Married
0,0,13,2,10,4306,31,12,1,13,3,1,1,2,7,1,5,Research & Development,Medical,Manufacturing Director,Married
0,0,8,1,2,2258,43,2,1,3,3,2,4,4,21,3,1,Research & Development,Medical,Laboratory Technician,Married
0,1,8,2,2,4522,43,2,0,5,3,1,3,3,8,3,3,Research & Development,Other,Healthcare Representative,Divorced
0,1,5,2,4,4487,25,3,0,5,2,1,4,2,4,3,3,Sales,Life Sciences,Sales Executive,Single
0,1,15,2,11,4449,37,7,2,13,3,0,3,2,25,3,2,Research & Development,Medical,Research Scientist,Married
0,0,4,1,2,2218,31,2,1,4,2,1,1,4,1,3,3,Research & Development,Life Sciences,Laboratory Technician,Married
0,1,21,5,8,19197,39,6,1,21,3,2,3,2,1,3,3,Research & Development,Life Sciences,Manager,Divorced
0,0,36,4,7,13212,56,7,3,7,4,2,1,3,6,2,0,Sales,Life Sciences,Sales Executive,Married
0,0,6,2,4,6577,30,4,0,5,3,1,3,2,12,3,6,Sales,Technical Degree,Sales Executive,Single
0,0,10,3,7,8392,41,7,1,10,4,1,1,2,1,3,2,Sales,Marketing,Sales Executive,Married
0,0,10,2,0,4558,28,8,1,10,3,1,1,3,17,3,2,Research & Development,Medical,Laboratory Technician,Divorced
1,0,6,1,2,4031,25,2,1,2,3,1,1,1,3,3,5,Research & Development,Medical,Laboratory Technician,Married
0,1,28,3,4,7969,52,4,0,5,2,1,3,4,3,3,4,Research & Development,Medical,Manufacturing Director,Married
0,0,8,1,2,2654,45,2,2,2,3,1,4,1,10,2,3,Research & Development,Life Sciences,Research Scientist,Married
0,0,31,4,2,16555,52,4,0,5,3,1,4,4,4,1,2,Research & Development,Life Sciences,Manager,Married
0,0,19,2,4,4556,42,2,1,5,3,2,3,1,29,3,3,Research & Development,Life Sciences,Research Scientist,Divorced
0,0,11,2,4,6091,30,2,0,5,1,1,4,3,2,3,2,Research & Development,Life Sciences,Manufacturing Director,Single
0,0,33,5,8,19566,60,10,0,29,3,1,1,1,7,1,5,Research & Development,Life Sciences,Manager,Married
0,0,19,2,7,4810,46,8,1,10,3,1,3,3,18,2,5,Research & Development,Medical,Manufacturing Director,Divorced
0,0,7,2,5,4523,42,4,3,6,2,2,4,4,28,4,4,Research & Development,Technical Degree,Healthcare Representative,Married
1,1,6,1,3,3202,24,4,0,5,3,1,2,1,1,3,4,Sales,Technical Degree,Sales Representative,Single
1,0,3,1,2,2351,34,0,1,2,1,2,3,4,6,2,3,Sales,Marketing,Sales Representative,Divorced
0,1,1,1,0,1702,38,0,1,1,3,2,4,4,2,3,3,Research & Development,Life Sciences,Laboratory Technician,Married
0,0,21,5,15,18041,40,12,0,20,3,1,3,3,2,3,2,Sales,Life Sciences,Manager,Married
0,0,3,1,2,2886,26,2,2,3,3,1,4,1,23,1,3,Research & Development,Life Sciences,Research Scientist,Divorced
0,0,9,1,3,2097,30,4,1,5,3,0,4,3,3,1,3,Research & Development,Life Sciences,Laboratory Technician,Married
0,0,10,3,2,11935,29,7,0,10,2,1,3,2,3,3,2,Research & Development,Medical,Research Director,Married
1,0,6,1,2,2546,29,1,0,2,2,1,2,3,25,4,2,Research & Development,Technical Degree,Research Scientist,Married
1,0,1,1,0,2564,19,0,0,1,2,1,4,1,2,4,3,Human Resources,Technical Degree,Human Resources,Single
0,0,10,3,8,8412,30,8,0,9,3,0,1,3,22,3,3,Sales,Other,Sales Executive,Married
0,0,32,4,0,14118,57,0,1,1,2,1,4,1,29,2,3,Sales,Marketing,Manager,Divorced
0,0,28,4,10,17046,50,7,1,27,2,1,3,2,29,3,2,Research & Development,Life Sciences,Manager,Married
0,0,12,1,7,2564,30,7,0,11,3,0,4,3,2,2,2,Research & Development,Medical,Laboratory Technician,Single
0,0,22,3,13,10266,60,11,0,18,2,2,1,3,28,4,5,Sales,Marketing,Sales Executive,Married
0,0,20,2,0,5070,47,4,3,5,3,1,4,1,2,3,2,Research & Development,Medical,Manufacturing Director,Divorced
0,0,26,4,2,17861,46,1,0,3,3,1,3,1,2,1,2,Research & Development,Life Sciences,Research Director,Married
0,0,6,1,4,4230,35,3,0,5,1,1,3,4,22,3,2,Research & Development,Life Sciences,Laboratory Technician,Single
0,0,19,2,0,3780,54,0,0,1,3,1,3,3,8,3,3,Research & Development,Life Sciences,Laboratory Technician,Single
0,0,14,1,3,2768,34,7,1,7,2,1,3,4,2,3,3,Research & Development,Life Sciences,Research Scientist,Divorced
0,1,15,3,2,9071,46,2,1,3,2,1,4,3,10,3,3,Sales,Marketing,Sales Executive,Married
0,0,13,3,8,10648,31,8,1,13,3,1,2,3,9,4,6,Research & Development,Life Sciences,Manufacturing Director,Divorced
1,1,15,3,6,13610,33,7,0,7,3,1,3,2,15,4,2,Research & Development,Medical,Manager,Married
1,0,8,1,3,3408,33,3,3,4,1,1,4,1,10,3,2,Research & Development,Medical,Laboratory Technician,Divorced
0,0,4,1,2,2983,30,2,0,3,3,1,2,4,7,3,3,Sales,Marketing,Sales Representative,Single
0,1,10,3,7,7632,35,0,0,8,3,1,3,4,16,3,2,Research & Development,Life Sciences,Healthcare Representative,Married
1,0,12,3,0,9824,31,0,0,1,3,2,3,1,20,3,2,Research & Development,Life Sciences,Healthcare Representative,Married
1,1,11,3,2,9950,34,2,3,3,3,2,1,2,23,3,2,Human Resources,Human Resources,Human Resources,Divorced
0,0,8,1,2,2093,42,0,1,2,3,2,3,2,5,3,4,Research & Development,Other,Laboratory Technician,Married
0,0,10,3,3,9980,36,7,0,10,3,0,4,2,10,2,3,Sales,Medical,Sales Executive,Single
1,0,4,1,2,3894,22,2,0,2,2,2,3,3,4,3,3,Research & Development,Technical Degree,Laboratory Technician,Single
0,0,14,2,7,4051,48,7,1,9,3,1,4,2,2,3,2,Sales,Marketing,Sales Executive,Married
0,0,37,4,9,16835,55,7,0,10,3,1,2,1,18,3,2,Sales,Life Sciences,Manager,Single
0,0,16,2,3,6230,41,10,0,14,3,0,4,4,10,3,3,Sales,Life Sciences,Sales Executive,Single
0,0,15,2,9,4717,35,9,0,11,3,1,3,2,1,3,2,Sales,Marketing,Sales Executive,Married
0,0,22,4,6,13237,40,13,0,20,3,1,3,2,6,3,3,Research & Development,Life Sciences,Manufacturing Director,Single
0,0,8,1,3,3755,39,7,1,8,3,2,3,3,8,3,3,Research & Development,Life Sciences,Laboratory Technician,Married
0,1,10,2,5,6582,31,5,0,6,3,1,4,2,2,4,2,Sales,Life Sciences,Sales Executive,Single
0,1,10,3,9,7406,42,8,1,10,3,1,1,4,24,2,5,Research & Development,Medical,Manufacturing Director,Married
0,0,9,2,7,4805,45,7,1,8,3,1,2,4,2,4,3,Sales,Other,Sales Executive,Married
1,1,8,1,7,2741,26,0,1,7,3,2,3,2,17,2,2,Human Resources,Life Sciences,Human Resources,Divorced
0,0,8,2,2,4262,29,2,2,3,3,1,4,4,19,4,2,Research & Development,Technical Degree,Manufacturing Director,Divorced
0,0,10,4,1,16184,33,5,1,6,4,1,3,1,1,3,2,Research & Development,Medical,Research Director,Divorced
0,0,10,3,4,11557,31,1,1,5,2,1,4,3,7,2,3,Sales,Life Sciences,Manager,Divorced
1,1,0,1,0,1878,18,0,0,0,3,2,2,2,5,3,3,Sales,Marketing,Sales Representative,Single
0,0,20,3,0,10932,40,1,1,1,1,0,1,3,28,3,2,Sales,Other,Sales Executive,Divorced
0,1,10,2,7,6811,41,7,0,8,2,0,3,1,2,3,3,Research & Development,Other,Healthcare Representative,Single
0,0,8,2,0,4306,26,0,2,0,3,1,3,1,29,3,5,Sales,Medical,Sales Executive,Divorced
0,0,5,2,4,4859,35,3,0,5,3,1,3,1,1,3,3,Sales,Medical,Sales Executive,Single
0,0,10,2,7,5337,34,7,0,10,4,1,4,4,21,3,3,Sales,Life Sciences,Sales Executive,Single
1,1,1,1,0,2340,26,0,0,1,1,1,4,3,24,1,3,Research & Development,Technical Degree,Laboratory Technician,Single
0,0,12,3,5,7491,37,2,0,6,3,1,4,2,1,4,3,Research & Development,Technical Degree,Manufacturing Director,Single
0,0,28,3,2,10527,46,2,0,2,3,2,3,1,18,2,3,Research & Development,Medical,Healthcare Representative,Married
0,0,22,4,16,16595,41,8,1,18,3,1,1,2,2,3,2,Sales,Life Sciences,Manager,Married
0,0,9,3,5,8834,37,7,1,9,3,0,2,1,9,3,6,Sales,Medical,Sales Executive,Divorced
0,1,18,2,9,5577,52,9,2,10,3,1,1,4,6,3,3,Research & Development,Technical Degree,Research Scientist,Divorced
1,0,6,2,2,4707,32,2,0,4,4,0,3,4,11,3,2,Sales,Other,Sales Executive,Married
0,0,3,1,2,2400,24,1,2,2,3,2,4,4,24,3,3,Sales,Medical,Sales Representative,Married
0,0,18,2,0,9824,38,0,1,1,3,1,3,3,10,3,4,Research & Development,Medical,Healthcare Representative,Married
0,0,8,2,5,6447,37,3,1,6,3,1,2,2,1,2,2,Research & Development,Life Sciences,Manufacturing Director,Married
0,1,31,5,9,19502,49,9,1,31,2,1,3,4,18,3,5,Research & Development,Life Sciences,Research Director,Divorced
0,1,6,1,5,2725,24,4,2,6,4,1,4,2,23,3,3,Research & Development,Medical,Research Scientist,Married
0,0,6,2,3,6272,26,4,2,5,3,1,2,1,28,4,5,Sales,Marketing,Sales Executive,Married
0,0,1,1,0,2127,24,0,1,1,2,1,2,4,17,3,2,Research & Development,Other,Laboratory Technician,Married
0,0,32,5,5,18200,50,7,1,32,3,2,2,1,3,3,2,Human Resources,Medical,Manager,Married
0,0,7,1,4,2096,25,6,0,7,3,1,3,2,13,3,1,Sales,Medical,Sales Representative,Married
1,1,6,1,3,2886,24,2,1,6,3,2,3,1,7,3,4,Research & Development,Life Sciences,Laboratory Technician,Married
1,0,1,1,0,2033,30,0,1,1,2,2,1,2,12,4,2,Sales,Life Sciences,Sales Representative,Married
0,1,6,1,5,3622,34,3,1,6,2,1,4,2,1,3,3,Research & Development,Life Sciences,Research Scientist,Married
1,0,9,2,1,4233,31,2,0,3,3,1,1,2,13,1,2,Sales,Medical,Sales Executive,Divorced
